State,1976,1977,1978
Alabama,1207,1260,1290
Alaska,172,163,159
Arizona,759,797,841
Arkansas,660,693,724
California,8153,8522,8957
Colorado,1003,1058,1119
Connecticut,1240,1283,1318
Delaware,236,236,241
Florida,2784,2873,3000
Georgia,1836,1890,1940
Hawaii,349,357,364
Idaho,291,307,326
Illinois,4509,4608,4703
Indiana,2024,2089,2164
Iowa,1037,1066,1087
Kansas,835,864,890
Kentucky,1112,1157,1212
Lousiana,1314,1335,1357
Maine,375,388,401
Maryland,1501,1529,1582
Massachusetts,2314,2396,2489
Michigan,3564,3412,3527
Minnesota,1521,1596,1677
Mississippi,728,761,791
Missouri,1798,1844,1879
Montana,251,265,278
Nebraska,572,586,596
Nevada,280,307,338
New Hampshire,313,336,362
New Jersey,2756,2845,2935
New Mexico,390,415,444
New York,6779,6827,6942
North Carolina,2067,2128,2194
North Dakota,215,221,228
Ohio,4095,4216,4325
Oklahoma,931,975,1021
Oregon,879,930,985
Pennsylvania,4512,4551,4610
Rhode Island,367,379,394
South Carolina,1038,1079,1114
South Dakota,219,227,232
Tennessee,1575,1629,1687
Texas,4684,4872,5084
Utah,463,489,525
Vermont,168,176,183
Virginia,1848,1912,1987
Washington,1271,1343,1444
West Virginia,596,605,600
Wisconsin,1724,1785,1867
Wyoming,157,168,181
